@relation pola_csv

@attribute H numeric
@attribute G numeric
@attribute Epoch {K161D,K15CO,K1642}
@attribute M numeric
@attribute Peri. numeric
@attribute Node numeric
@attribute Incl. numeric
@attribute e numeric
@attribute n numeric
@attribute a numeric
@attribute #Obs numeric
@attribute #Opp numeric
@attribute rms numeric
@attribute Per {M-v,M-h,M-c,M-N}
@attribute ts {3Eh,8.0,38h,08h}
@attribute Hazard {T,F}

@data
-0.711602,0.15,K161D,0.39453,0.878211,-0.881321,-0.929606,0.428327,1.018355,-1.324883,1.705429,3.163228,0.59,M-v,3Eh,T
-1.271918,0.15,K161D,-1.355134,1.310008,-1.164979,-0.939245,0.802203,0.837987,-1.100434,2.076995,3.163228,0.54,M-h,3Eh,T
-1.403757,0.15,K161D,1.622124,1.217771,-1.291239,1.836255,0.724805,0.86989,-1.145743,1.014696,2.439377,0.61,M-h,3Eh,T
-1.07416,0.15,K161D,0.11981,0.63533,0.144217,-0.338548,0.626746,0.529255,-0.440243,2.715328,2.077452,0.37,M-h,3Eh,T
-1.337838,0.15,K161D,0.863152,-1.723513,1.297081,-0.939361,0.528827,0.34771,0.368422,2.153214,0.991676,0.53,M-v,3Eh,T
-0.909361,0.15,K161D,0.077619,-0.520662,0.270284,-0.516408,0.536271,0.47639,-0.25842,0.69553,1.353601,0.45,M-v,3Eh,T
-1.469677,0.15,K161D,-0.478167,0.412828,1.26876,0.535622,0.850157,0.751742,-0.962135,1.738774,3.525154,0.52,M-h,3Eh,T
-1.766315,0.15,K161D,0.034082,-0.886786,0.083758,-0.911832,0.606025,0.357503,0.307683,1.30528,3.887079,0.46,M-h,3Eh,T
-1.140079,0.15,K161D,-1.367456,-0.891346,0.043156,-0.708256,0.729427,0.318103,0.570775,0.819385,1.715527,0.49,M-h,3Eh,T
-1.568556,0.15,K161D,0.836379,-0.734996,-1.65684,4.296828,0.186988,0.871624,-1.148126,1.495827,2.077452,0.45,M-h,3Eh,T
-2.029993,0.15,K161D,-1.24377,0.019901,-1.104559,-0.12854,0.524163,0.315812,0.587742,3.734754,3.163228,0.45,M-h,3Eh,T
-2.029993,0.15,K161D,-0.290392,-1.188207,1.380421,1.233567,0.553404,0.355954,0.317103,1.591101,2.077452,0.44,M-h,3Eh,T
-1.898154,0.15,K161D,-0.26597,0.047312,-0.014863,3.753257,0.289466,0.580817,-0.590598,1.310044,2.077452,0.52,M-h,3Eh,T
-1.107119,0.15,K161D,-1.261262,-0.870284,0.495704,-0.775354,0.588901,0.532341,-0.449922,4.058684,2.077452,0.36,M-h,3Eh,T
-1.271918,0.15,K161D,1.355607,-1.322437,0.349246,2.032208,0.655493,1.034397,-1.341648,1.081387,3.163228,0.51,M-v,3Eh,T
-1.0412,0.15,K161D,0.58167,-0.967241,0.928516,-0.843582,0.398221,0.568186,-0.555874,1.033751,2.439377,0.45,M-h,3Eh,T
-1.0412,0.15,K161D,0.997669,-1.082478,1.801622,0.570787,0.48554,0.561842,-0.537945,-0.209568,1.353601,0.56,M-h,3Eh,T
-1.370798,0.15,K161D,-0.192506,-1.584455,-0.734822,0.319489,0.208392,1.223981,-1.511507,0.161998,2.077452,0.57,M-h,3Eh,T
-0.810481,0.15,K161D,0.198255,-0.965357,1.786021,-0.841435,0.721628,0.247653,1.208843,1.562518,2.439377,0.38,M-h,3Eh,T
-0.711602,0.15,K161D,0.004221,0.064159,-0.086635,-0.910663,0.366048,0.821886,-1.076458,0.3192,1.715527,0.6,M-h,3Eh,T
-0.909361,0.15,K161D,-1.607008,0.75499,-0.714243,-0.187413,0.639954,0.565817,-0.549218,0.376364,0.991676,0.56,M-h,3Eh,T
-0.94232,0.15,K161D,-0.430511,-1.360901,-0.49303,-1.132689,0.573203,0.630494,-0.715799,0.666948,1.715527,0.54,M-h,3Eh,T
-1.00824,0.15,K161D,-1.504697,-0.447859,1.368911,-0.968395,0.497322,0.758258,-0.973495,0.724112,2.077452,0.48,M-h,3Eh,T
-1.238958,0.15,K161D,-0.845544,0.989562,0.055163,-0.520148,0.653636,0.382854,0.162593,1.695901,1.353601,0.51,M-v,3Eh,T
-0.316084,0.15,K161D,0.75461,1.323954,0.476085,-0.694265,0.523169,0.786981,-1.021692,-0.009494,1.715527,0.59,M-h,3Eh,T
-0.843441,0.15,K161D,-0.374777,0.570712,-1.10789,1.046014,0.23662,0.786758,-1.021329,1.410081,2.077452,0.5,M-h,3Eh,T
-1.304878,0.15,K161D,-0.951377,0.49925,0.390522,1.611766,0.795719,0.635,-0.726343,1.219534,2.439377,0.64,M-h,3Eh,T
-0.94232,0.15,K161D,0.16952,0.310225,-0.998018,-0.46442,0.780632,1.132824,-1.435753,1.21477,3.525154,0.56,M-v,3Eh,T
-1.568556,0.15,K161D,0.473736,-0.4165,-1.011484,-0.630241,0.676374,0.246096,1.226331,0.085779,2.077452,0.49,M-h,3Eh,T
-1.634476,0.15,K161D,0.475686,0.355564,-0.29226,1.345371,0.645255,0.249018,1.193663,0.219162,1.353601,0.5,M-h,3Eh,T
-1.271918,0.15,K161D,-0.321146,-1.31732,1.012507,-0.977113,0.467422,0.440069,-0.112711,1.581573,2.439377,0.42,M-h,3Eh,T
