Des'n	H	G	Epoch	M	Peri.	Node	Incl.	e	n	a	#Obs	#Opp	rms	Per	ts
d	c	c	d	c	c	c	c	c	c	c	c	c	c	d	d
K07P25	R 22.0	0.15	K161D	33.82162	291.53305	154.71342	3.47275	0.8428886	0.36828477	1.927585	41	1	0.65	M-v	3Eh
K07P27	V 20.2	0.15	K161D	238.47703	107.63088	324.48581	24.5998	0.3708799	0.68582886	1.2734802	79	3	0.41	M-v	3Eh
K07P28	F 19.1	0.15	K161D	228.86772	261.27	180.11496	5.88485	0.8007198	0.31491044	2.1396596	412	2	0.35	M-v	3Eh
K07R02	F 20.7	0.15	K161D	211.51444	83.25817	12.25788	6.06558	0.6644692	0.43283613	1.7308272	89	1	0.31	M-v	3Eh
K07R09	U 20.8	0.15	K161D	18.96045	285.97163	164.34798	5.64371	0.6295702	0.37070587	1.9191831	164	3	0.35	M-v	3Eh
K07R09	V 20.2	0.15	K161D	347.10508	116.4346	340.69765	6.39234	0.5664405	0.36468679	1.9402426	128	4	0.5	M-v	3Eh
K07R17	U 18.1	0.15	K161D	268.18077	129.8276	17.47046	9.08036	0.8281267	0.33820513	2.0402462	367	3	0.46	M-v	3Eh
K07S06	Q 21.9	0.15	K161D	183.77998	283.7501	191.41896	9.10174	0.1454945	0.9253432	1.0429596	70	2	0.51	M-v	3Eh
K07S11	R 22.0	0.15	K161D	324.67028	99.52234	218.45454	1.47337	0.6497973	0.22413819	2.6840596	57	1	0.49	M-v	3Eh
K07T01	H 22.0	0.15	K161D	109.95326	282.36867	13.72058	20.11065	0.4178357	0.62035239	1.3615818	57	1	0.49	M-v	3Eh
K07T19	S 20.6	0.15	K161D	49.03457	118.00276	24.20992	15.63185	0.5004066	0.87365816	1.0836982	262	2	0.37	M-v	3Eh
K07T23	L 21.4	0.15	K161D	346.7357	101.92685	136.77621	2.12147	0.7364347	0.81576576	1.1343813	87	3	0.42	M-v	3Eh
K07T24	R 20.5	0.15	K161D	50.50104	36.97022	87.18069	3.57099	0.668657	0.38458866	1.8727152	75	3	0.41	M-v	3Eh
K07T24	U 20.3	0.15	K161D	267.94638	334.25414	127.0411	5.62314	0.5342336	0.33754053	2.0429235	625	2	0.56	M-v	3Eh
K07U12	L 20.9	0.15	K161D	328.1913	95.63046	67.1428	4.18717	0.806417	0.35662767	1.9693642	83	1	0.4	M-v	3Eh
K07U12	S 22.0	0.15	K161D	272.988	44.60529	211.14425	8.80452	0.5146243	1.14266674	0.9061282	64	5	0.49	M-v	3Eh
K07U51	R 21.4	0.15	K161D	343.10002	72.99516	208.33258	7.26596	0.6915623	0.4657781	1.6482257	65	1	0.48	M-v	3Eh
K07V00	G 21.0	0.15	K161D	23.8824	261.57936	33.41792	51.13954	0.664343	0.36054872	1.9550599	59	1	0.4	M-v	3Eh
K07V03	N 21.4	0.15	K161D	170.06363	320.01884	22.03736	15.57474	0.5775976	0.29276259	2.2462547	52	1	0.47	M-v	3Eh
K07V06	T 20.3	0.15	K161D	333.14751	294.09284	213.45027	7.38993	0.6442642	0.36215241	1.9492841	110	3	0.52	M-v	3Eh
